(fanniema ford groupon)=0.6666666666666666
(love fring falltrend)=0.6666666666666666
(mustread bridgeandburn freepeopl)=0.6666666666666666
(r n t)=0.03636363636363636
(imposs forev freepeopl)=0.6666666666666666
(fashion dare giambattist)=0.6666666666666666
(ty share great)=0.6666666666666666
(dwyanewad today fashion)=1.0
(blue jean slimmi)=0.4
(bikini trianglswimwear sunglass)=0.6666666666666666
(pretti lace forev)=1.0
(freepeopl just new)=0.5
(beauti ll ootd)=0.6666666666666666
(got cloth just)=0.6666666666666666
(size x levi)=0.2857142857142857
(summer tee sequin)=0.6666666666666666
(somethingincommon new mango)=0.6666666666666666
(fit regular size)=0.6666666666666666
(spark dress freepeopl)=0.6666666666666666
(handsom eric ya)=0.6666666666666666
(matt spitzer levi)=1.0
(usmad jean pair)=0.6666666666666666
(just pass levi)=0.6666666666666666
(bring guess bro)=0.6666666666666666
(ragbon littl white)=0.6666666666666666
(riverisland jean forev)=0.6666666666666666
(pretti cardigan forev)=0.6666666666666666
(biker jacket riverislandpr)=0.6666666666666666
(bone wool dunaway)=0.6666666666666666
(like gold membership)=0.6666666666666666
(cami green prefal)=0.6666666666666666
(came forev thank)=0.6666666666666666
(levi town park)=0.6666666666666666
(style adidasorigin forev)=0.6666666666666666
(s trend budget)=0.3333333333333333
(dress raf simon)=0.6666666666666666
(thesocialctv zara hm)=0.6666666666666666
(tanyacheveleva freepeopl perfect)=1.0
(freepeopl geranium rose)=0.6666666666666666
(skinni women jean)=0.6666666666666666
(sneaker zara fashion)=0.6666666666666666
(mankind jean mini)=0.08333333333333333
(brooklyn shirt black)=0.6666666666666666
(rude genuin dont)=0.6666666666666666
(forev sell xlg)=0.6666666666666666
(your fox af)=1.0
(levi regular taper)=0.6666666666666666
(cofound madera villag)=0.6666666666666666
(dress woven cotton)=0.6666666666666666
(pink lip cur)=0.6666666666666666
(hm summer vacat)=1.0
(americanapparel freepeopl topshop)=0.6666666666666666
(stretch slim leg)=0.5
(jean allsaintsl distress)=0.6666666666666666
(hm style kaisergram)=0.5
(hbd big twinnnn)=0.6666666666666666
(cool hat featur)=0.6666666666666666
(check levi women)=0.2222222222222222
(obsess earring hm)=1.0
(sell xs sell)=0.6666666666666666
(great piec perfect)=0.5
(hm compliment receiv)=0.6666666666666666
(shoe problem caus)=0.6666666666666666
(jean michaelkor shoe)=0.6666666666666666
(jean light coat)=0.4
(tab jean levi)=0.6
(day get wors)=0.6666666666666666
(forallmankind rebeccaminkoff vinc)=0.6666666666666666
(fam classic current)=1.0
(slmor guess watch)=1.0
(blush iropari currentelliott)=0.6666666666666666
(x zip pocket)=0.6666666666666666
(dress tank short)=0.6666666666666666
(racerback jersey knit)=0.6666666666666666
(dm coz your)=0.6666666666666666
(bust halter midi)=0.6666666666666666
(•• bra kiabi)=0.6666666666666666
(mule perfect outfit)=0.6666666666666666
(like polyvor rag)=0.2857142857142857
(ootd turbanstyl wmscarf)=1.0
(recycl seen dropoff)=0.6666666666666666
(buy ton dress)=0.6666666666666666
(scarf print blous)=0.6666666666666666
(freepeopl luckybrand small)=0.18181818181818182
